Region and province,2549,2550,2552,2554,2556,2558
Whole Kingdom,"17,787","18,660","20,904","23,236","25,194","26,915"
Greater Bangkok ,"33,088","35,007","37,732","41,631","43,058","41,002"
Bangkok,"36,658","39,020","42,380","48,951","49,191","45,572"
Samut Prakan,"20,382","21,302","23,359","23,798","29,575","25,457"
Nonthaburi,"31,152","32,743","34,626","35,120","30,664","36,884"
Pathum Thani,"25,143","26,107","26,686","21,616","33,461","41,057"
Central Region ,"19,279","18,932","20,960","20,822","26,114","26,601"
Phra Nakhon Si Ayutthaya,"19,676","21,676","25,820","22,302","26,482","28,379"
Ang Thong,"18,300","17,704","25,506","21,140","28,641","23,351"
Lop Buri,"19,935","16,852","22,405","17,178","23,426","22,955"
Sing Buri,"18,510","20,558","25,419","26,068","28,115","26,112"
Chai Nat,"13,058","13,995","18,719","20,181","32,754","22,059"
Saraburi,"20,468","22,363","21,947","27,114","32,834","29,413"
Chon Buri,"21,869","22,260","24,052","23,007","28,367","27,257"
Rayong,"20,018","25,090","22,983","21,929","30,401","30,315"
Chanthaburi,"20,606","18,866","19,442","24,278","27,284","36,024"
Trat,"20,286","16,664","16,949","28,118","21,653","25,333"
Chachoengsao,"16,770","20,665","21,252","23,031","34,548","27,555"
Prachin Buri,"16,031","18,263","22,548","25,338","21,039","24,166"
Nakhon Nayok,"14,104","15,983","17,503","17,042","23,391","23,555"
Sa Kaeo,"11,577","13,593","15,525","17,781","24,805","26,953"
Ratchaburi,"23,202","17,576","20,994","18,713","25,742","19,590"
Kanchanaburi,"15,606","15,326","17,571","15,210","18,746","18,884"
Suphan Buri,"14,783","15,112","15,797","15,928","17,260","15,786"
Nakhon Pathom,"33,835","25,447","24,989","22,955","30,856","40,347"
Samut Sakhon,"19,555","18,735","20,978","20,850","23,658","29,347"
Samut Songkhram,"16,923","12,634","18,363","15,068","16,257","18,310"
Phetchaburi,"15,042","17,855","17,440","20,026","21,784","26,431"
Prachuap Khiri Khan,"16,238","17,932","16,934","17,477","28,459","23,523"
Northern Region,"13,146","13,568","15,727","17,350","19,267","18,952"
Chiang Mai,"14,904","14,386","16,141","18,323","14,393","14,950"
Lamphun,"14,361","14,104","20,048","18,778","22,505","23,834"
Lampang,"15,585","13,531","14,020","18,454","19,262","20,466"
Uttaradit,"14,220","15,001","15,865","17,602","21,344","19,239"
Phrae,"12,591","14,045","13,034","18,157","19,418","21,796"
Nan,"10,590","11,407","14,624","16,249","17,598","17,886"
Phayao,"10,352","11,348","13,189","14,457","15,491","17,673"
Chiang Rai,"10,495","13,736","13,278","15,034","13,510","13,497"
Mae Hong Son,"6,544","7,245","7,936","9,024","8,821","15,119"
Nakhon Sawan,"14,953","15,141","17,127","21,561","24,158","21,952"
Uthai Thani,"13,258","12,036","17,425","18,487","20,150","20,115"
Kamphaeng Phet,"15,337","15,559","18,115","18,672","22,083","20,140"
Tak,"10,963","10,791","12,453","12,936","17,020","20,079"
Sukhothai,"13,843","12,720","15,411","18,098","24,121","22,252"
Phitsanulok,"14,117","13,364","15,779","17,474","27,490","19,235"
Phichit,"13,488","15,603","21,821","18,130","21,664","22,101"
Phetchabun,"11,323","12,914","17,096","15,678","19,918","21,337"
Northeastern Region,"11,815","12,995","15,358","18,217","19,181","21,094"
Nakhon Ratchasima,"13,320","14,177","19,158","19,399","22,479","26,376"
Buri Ram,"9,698","10,263","13,734","17,316","15,624","18,480"
Surin,"11,850","12,257","11,310","18,287","21,351","20,315"
Si Sa Ket,"9,406","10,782","10,666","13,944","16,207","18,793"
Ubon Ratchathani,"12,035","14,534","16,747","21,660","22,344","20,453"
Yasothon,"9,969","10,040","11,813","16,767","14,418","19,518"
Chaiyaphum,"11,551","11,253","12,380","15,794","18,641","23,830"
Amnat Charoen,"13,134","11,889","14,763","15,975","17,273","21,173"
Bungkan,,,,,"20,207","23,767"
Nong Bua Lam Phu,"11,030","11,889","14,012","17,139","15,390","22,553"
Khon Kaen,"11,349","15,065","19,779","16,030","18,095","21,337"
Udon Thani,"14,097","17,273","16,684","22,017","25,966","22,817"
Loei,"12,083","13,765","13,411","17,958","16,338","20,990"
Nong Khai,"12,877","12,885","14,467","16,979","18,058","21,207"
Maha Sarakham,"13,646","15,812","19,845","25,461","21,644","18,540"
Roi Et,"10,849","11,779","14,932","20,167","20,505","19,990"
Kalasin,"12,470","12,507","11,748","17,293","13,921","15,452"
Sakon Nakhon,"11,295","11,957","16,679","15,326","16,854","19,281"
Nakhon Phanom,"9,927","10,009","12,859","14,053","14,310","15,804"
Mukdahan,"13,497","13,406","17,370","19,048","16,494","22,870"
Southern Region,"18,668","19,716","22,926","27,326","27,504","26,286"
Nakhon Si Thammarat,"17,377","18,087","23,296","29,970","27,479","25,124"
Krabi,"18,446","18,852","23,647","33,350","27,276","31,012"
Phangnga,"29,617","22,211","22,356","24,470","26,168","28,842"
Phuket,"25,630","25,084","28,515","26,048","31,857","31,500"
Surat Thani,"21,747","26,207","30,604","34,417","36,865","36,466"
Ranong,"18,679","21,620","19,274","26,049","32,292","22,035"
Chumphon,"17,232","19,003","25,179","28,022","27,540","29,306"
Songkhla,"22,093","22,342","27,356","26,711","26,824","27,660"
Satun,"14,307","17,328","20,695","21,047","25,400","23,209"
Trang,"20,801","23,650","21,992","36,245","33,270","23,309"
Phattalung,"18,045","18,670","19,381","25,202","26,169","21,478"
Pattani,"12,547","11,840","13,511","16,122","20,199","17,513"
Yala,"14,354","13,698","19,619","21,859","22,483","15,584"
Narathiwat,"11,586","13,148","11,244","16,834","16,773","19,890"
